id,nombre,fecha_nacimiento,email,telefono,direcciones,riesgo_acumulado,rol
e5df96b3-05b8-413b-b6c0-3af7e87bf23e,Cliente_99,1974-10-24,cliente_99@mail.com,+37-498-3029464,"[""Av. Siempre Viva 390""]",69.54,regular
2d10d4f2-f637-4bfa-a114-f27990ad93f7,Cliente_100,1957-08-25,cliente_100@example.com,+25-208-3906947,"[""Av. Siempre Viva 51""]",8.53,regular
769ca5e1-dcdc-454b-b0b8-710d44868298,Cliente_101,1998-07-22,cliente_101@example.com,+9-297-5294417,"[""Calle Falsa 19""]",88.26,regular
8027f647-7203-44b1-8ab6-f49fa0a9a484,Cliente_102,1998-02-08,cliente_102@example.com,+47-649-4780921,"[""Calle del Sol 997""]",43.76,regular
b19ecfbf-362d-4f47-b5ec-8e8402bd0fa5,Cliente_103,1989-03-26,cliente_103@mail.com,+90-395-8240818,"[""Calle del Sol 818""]",61.91,regular
4bdab8fd-5ffa-49be-aa52-b0a5a1c71df9,Cliente_104,1979-07-03,cliente_104@example.com,+87-130-5476481,"[""Calle del Sol 153""]",84.78,regular
dca7ff1b-768f-4fb6-990f-e26db802ce79,Cliente_105,1985-09-01,cliente_105@example.com,+9-687-2052966,"[""Av. Siempre Viva 986""]",81.95,regular
aa19a308-6358-4860-a092-147d8a0d302e,Cliente_106,1960-07-30,cliente_106@mail.com,+21-262-5007749,"[""Calle del Sol 380""]",83.7,regular
283921b2-cba5-42a3-af01-697d4f08825f,Cliente_107,1952-02-01,cliente_107@test.org,+61-992-5546808,"[""Calle del Sol 115""]",67.91,regular
df716eee-c494-4467-a4b5-fa993a169a58,Cliente_108,1971-01-10,cliente_108@test.org,+90-664-3889177,"[""Av. Los Pinos 40""]",79.28,regular
7d9e796b-71b1-4c42-92c1-13632af12a20,Cliente_109,1982-04-22,cliente_109@test.org,+59-598-7608464,"[""Calle del Sol 69""]",26.44,regular
9f193605-3936-4af7-994c-1e4d8b307a0a,Cliente_110,1990-10-22,cliente_110@mail.com,+38-724-1482670,"[""Calle Falsa 635""]",40.21,regular
eec22654-7dd0-4396-9a1d-a42159894259,Cliente_111,1978-03-23,cliente_111@mail.com,+48-961-5946047,"[""Av. Los Pinos 581""]",29.17,regular
97aea041-b997-46c1-b6c8-61f622a24496,Cliente_112,1979-03-20,cliente_112@example.com,+77-916-2041858,"[""Av. Siempre Viva 285""]",79.69,regular
1d3766f6-7d0e-48d5-b673-8c98c72fb86b,Cliente_113,1956-01-25,cliente_113@example.com,+61-759-3128990,"[""Calle del Sol 870""]",22.03,regular
6ef60c78-c3fa-4cdc-92bc-a5b139576ff4,Cliente_114,2000-10-30,cliente_114@example.com,+61-875-8064531,"[""Calle del Sol 651""]",45.69,regular
a212927e-7e9d-42c0-b965-017e380e4800,Cliente_115,1974-08-19,cliente_115@test.org,+45-162-5865547,"[""Calle Falsa 412""]",97.21,regular
935427ee-e6cc-4012-bce1-f5fb07b69582,Cliente_116,1998-02-20,cliente_116@mail.com,+30-119-5818011,"[""Av. Siempre Viva 218""]",51.77,regular
1210ddc1-d2f0-49fc-874f-4ad972bc19d8,Cliente_117,1998-07-04,cliente_117@example.com,+64-979-1016386,"[""Calle del Sol 566""]",43.16,regular
bfcb343e-f4bc-48a9-bb2d-a612f0d43bbf,Cliente_118,1968-01-19,cliente_118@test.org,+23-116-7557765,"[""Av. Siempre Viva 329""]",24.24,regular
0b8b53aa-c5bc-471a-affb-4b200ff40887,Cliente_119,1982-09-09,cliente_119@example.com,+63-341-8899488,"[""Av. Siempre Viva 312""]",86.74,regular
4da271ea-4c9a-4bb1-84de-1cb5e8fe80d0,Cliente_120,1981-06-20,cliente_120@test.org,+52-363-9824353,"[""Av. Los Pinos 816""]",92.96,regular
b862e7c5-cef9-4f01-9ac3-122f355c1200,Cliente_121,1968-04-19,cliente_121@example.com,+92-652-5860979,"[""Av. Siempre Viva 769""]",45.73,regular
914c3959-e4d6-4456-b10f-1770094d0d2e,Cliente_122,1983-10-21,cliente_122@test.org,+18-856-1463739,"[""Calle del Sol 413""]",55.31,regular
a993e9b5-457c-4c67-a3ea-f0d9f723a548,Cliente_123,1979-12-14,cliente_123@example.com,+25-193-7490476,"[""Calle Falsa 785""]",92.66,regular
c3a80ec1-3a79-4b18-beb1-eef80763e174,Cliente_124,1975-01-01,cliente_124@example.com,+99-915-1138530,"[""Calle Falsa 781""]",77.23,regular
c66a5b30-60ef-4f92-87cf-a4dee276fe41,Cliente_125,1982-10-25,cliente_125@test.org,+11-221-9268234,"[""Calle del Sol 994""]",46.26,regular
3f5b1c5a-5944-48d6-9104-06bf706dfd08,Cliente_126,1986-06-25,cliente_126@mail.com,+30-689-3962261,"[""Calle del Sol 928""]",51.99,regular
1e8b400d-d967-493b-910a-53b504fc9b5e,Cliente_127,1970-12-09,cliente_127@test.org,+19-835-7958467,"[""Av. Los Pinos 314""]",52.02,regular
96621c7c-e4bc-4eb6-adb4-fc1e3ce3e169,Cliente_128,1979-10-12,cliente_128@mail.com,+33-223-3744462,"[""Calle Falsa 782""]",96.69,regular
cb940403-5cb9-48bc-9660-dba7e5d6fb77,Cliente_129,1966-10-06,cliente_129@mail.com,+57-709-3926196,"[""Calle del Sol 762""]",1.88,regular
cdee6c21-945f-4614-aac1-4ee81e34d8a7,Cliente_130,1955-11-06,cliente_130@test.org,+79-259-1148941,"[""Av. Siempre Viva 165""]",0.16,regular
366acca2-06ea-4b5a-a7af-fbb205f07a00,Cliente_131,1993-03-04,cliente_131@example.com,+29-525-9814755,"[""Av. Siempre Viva 323""]",53.35,regular
90e36edc-b46a-4181-bdaf-82fe03fffbe9,Cliente_132,1996-12-28,cliente_132@example.com,+19-651-4055187,"[""Av. Los Pinos 296""]",32.11,regular
5b82cbc1-0043-4f93-8734-e5b763ad837f,Cliente_133,1974-05-13,cliente_133@example.com,+32-769-5689269,"[""Calle del Sol 164""]",14.02,regular
b87fc24e-db41-4cc8-9d33-29ff6c6a9961,Cliente_134,1957-12-05,cliente_134@mail.com,+87-442-4702047,"[""Av. Los Pinos 604""]",68.39,regular
4b6c345b-1d2b-41e8-89e2-eb49d4d6943e,Cliente_135,1967-12-19,cliente_135@test.org,+80-205-8435431,"[""Calle del Sol 884""]",74.33,regular
6b95a5ad-36a8-4676-a9a1-2058431f03f2,Cliente_136,1976-03-01,cliente_136@test.org,+9-110-2409013,"[""Av. Siempre Viva 882""]",90.14,regular
f1a800d1-6d53-4916-805b-d152c52e2e1d,Cliente_137,1954-02-19,cliente_137@mail.com,+89-650-5992812,"[""Av. Los Pinos 442""]",91.97,regular
2b617421-e266-4fa3-82ae-fd25e8a314e5,Cliente_138,1982-05-16,cliente_138@mail.com,+56-658-1206537,"[""Av. Los Pinos 816""]",71.02,regular
2e6452f2-631c-42bf-87df-a47bff60a441,Cliente_139,1987-02-17,cliente_139@mail.com,+98-970-4812541,"[""Av. Los Pinos 486""]",57.08,regular
47d597fd-4319-4335-8c09-81d37d9475e6,Cliente_140,1954-03-18,cliente_140@mail.com,+91-389-9882774,"[""Calle Falsa 909""]",16.97,regular
dbeec3d7-6acb-4c44-9e50-8bccaedbc81b,Cliente_141,1975-04-08,cliente_141@test.org,+49-590-4365425,"[""Av. Los Pinos 647""]",70.39,regular
522c086c-a1e6-42de-9604-0dee27072532,Cliente_142,1973-02-26,cliente_142@test.org,+14-463-9942293,"[""Av. Los Pinos 188""]",36.31,regular
104310b5-8abe-4091-a0b6-3ea56a160adf,Cliente_143,1978-09-02,cliente_143@test.org,+66-795-2974863,"[""Calle del Sol 248""]",64.92,regular
67431d84-f1bf-4694-9af7-596c43cd63e3,Cliente_144,1968-02-08,cliente_144@example.com,+54-139-8023311,"[""Av. Los Pinos 784""]",54.87,regular
2604b98f-6e7f-4067-b217-4ac4917ad4fe,Cliente_145,1988-06-19,cliente_145@test.org,+83-161-5381845,"[""Calle Falsa 62""]",2.07,regular
d826b093-a941-484b-a08c-838cbed36604,Cliente_146,1969-09-14,cliente_146@mail.com,+91-773-1566937,"[""Calle del Sol 228""]",16.78,regular
dbbecf18-4ebb-4e6f-b14a-757e231ca146,Cliente_147,1955-12-26,cliente_147@test.org,+68-667-1575843,"[""Calle Falsa 543""]",34.9,regular
ace5dafa-550e-43f1-8bcb-7b7caac980bc,Cliente_148,1957-01-07,cliente_148@test.org,+75-117-4004302,"[""Calle Falsa 102""]",44.75,regular
d4d3d919-4638-4380-b26e-afa433b85a9e,Cliente_149,1958-09-08,cliente_149@example.com,+68-135-1727961,"[""Av. Siempre Viva 868""]",94.45,regular
e497afdf-4497-481f-9cdc-806d7f85e271,Cliente_150,1992-09-27,cliente_150@mail.com,+58-331-7714909,"[""Calle Falsa 310""]",98.24,regular
2d8e68c7-d430-4f88-bb1f-ada795547c4d,Cliente_151,1993-05-28,cliente_151@test.org,+34-814-4781910,"[""Calle del Sol 844""]",49.26,regular
d6b9c1da-5d2e-451e-9ade-cc0edcd6d906,Cliente_152,1967-12-22,cliente_152@test.org,+65-380-6517113,"[""Av. Los Pinos 478""]",61.23,regular
a46400e0-8a30-4817-a047-f83d5fef82c7,Cliente_153,1957-03-09,cliente_153@test.org,+91-123-8861470,"[""Av. Los Pinos 183""]",18.4,regular
10e8cf8c-52d7-42e0-ab49-cad8fe225e0c,Cliente_154,1972-08-26,cliente_154@mail.com,+93-809-4327639,"[""Av. Los Pinos 495""]",95.33,regular
1e36b114-224d-4db1-9dd5-cc5c8f103552,Cliente_155,1950-10-14,cliente_155@test.org,+39-164-2554047,"[""Av. Los Pinos 421""]",4.56,regular
a1eb661f-f4b3-4d86-be1c-f71befc37096,Cliente_156,1975-09-04,cliente_156@test.org,+23-886-2887457,"[""Av. Los Pinos 403""]",92.46,regular
22e4e659-ade2-43f0-8554-b69bbdaa349f,Cliente_157,2000-01-02,cliente_157@example.com,+47-937-4574363,"[""Av. Los Pinos 400""]",70.26,regular
996a6c3a-12a9-4fb5-9f5a-f79e42c6e840,Cliente_158,1985-10-14,cliente_158@example.com,+32-513-6423862,"[""Calle del Sol 554""]",99.37,regular
873f1afa-2577-4f2a-b134-e5da611f5bb9,Cliente_159,1994-02-23,cliente_159@test.org,+30-892-4357202,"[""Av. Siempre Viva 741""]",16.23,regular
110bb2da-939e-42fa-a6bc-87f611688fef,Cliente_160,1962-05-05,cliente_160@mail.com,+85-642-8375224,"[""Av. Siempre Viva 622""]",89.77,regular
7956ea44-d60e-4781-9554-a8e785dc7134,Cliente_161,1990-06-23,cliente_161@example.com,+52-500-3182802,"[""Calle del Sol 661""]",72.38,regular
8a751059-b52e-43ee-a36d-9b44dd2be810,Cliente_162,1957-07-10,cliente_162@example.com,+62-341-2098021,"[""Av. Siempre Viva 335""]",95.49,regular
8d5a4b96-0e7b-43bd-8452-6630f5d6a183,Cliente_163,1967-08-07,cliente_163@example.com,+74-605-5759979,"[""Calle Falsa 622""]",60.63,regular
